                           ,patch_0 ,patch_1 ,patch_2
bitcount                   ,T       ,T       ,T
breadth_first_search       ,T       ,T       ,T
bucketsort                 ,T       ,T       ,T
depth_first_search         ,F       ,T       ,T
detect_cycle               ,T       ,T       ,T
find_first_in_sorted       ,F       ,T       ,T
find_in_sorted             ,T       ,T       ,T
flatten                    ,T       ,T       ,T
gcd                        ,T       ,T       ,T
get_factors                ,F       ,F       ,F
hanoi                      ,U       ,U       ,U
is_valid_parenthesization  ,U       ,U       ,U
kheapsort                  ,F       ,U       ,U
knapsack                   ,U       ,U       ,F
kth                        ,U       ,F       ,F
lcs_length                 ,U       ,F       ,F
levenshtein                ,F       ,F       ,F
lis                        ,F       ,F       ,F
longest_common_subsequence ,U       ,U       ,U
max_sublist_sum            ,F       ,F       ,U
mergesort                  ,U       ,U       ,U
minimum_spanning_tree      ,F       ,F       ,F
next_palindrome            ,F       ,F       ,F
next_permutation           ,U       ,U       ,U
pascal                     ,U       ,U       ,U
possible_change            ,F       ,U       ,U
powerset                   ,F       ,F       ,F
quicksort                  ,U       ,U       ,F
reverse_linked_list        ,F       ,F       ,F
rpn_eval                   ,F       ,F       ,F
shortest_path_length       ,F       ,F       ,F
shortest_path_lengths      ,F       ,F       ,U
shortest_paths             ,U       ,U       ,U
shunting_yard              ,U       ,U       ,U
sieve                      ,U       ,U       ,U
sqrt                       ,U       ,U       ,U
subsequences               ,F       ,F       ,F
to_base                    ,U       ,U       ,U
topological_ordering       ,F       ,F       ,F
wrap                       ,F       ,F       ,F
