,prog_name,bug_type,bug_consequence,bug_impact,exp_name,correct_ratio,prompt,model,available,stable
0,bitcount,variable assign fault,infinite loop error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
1,breadth_first_search,condition fault,infinite loop error,edge-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
2,bucketsort,variable misuse fault,output error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
3,depth_first_search,variable misuse fault,infinite loop error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
4,detect_cycle,condition fault,runtime error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
5,find_first_in_sorted,condition fault,infinite loop error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
6,find_in_sorted,indexing fault,infinite loop error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
7,flatten,variable misuse fault,format error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
8,gcd,variable misuse fault,infinite loop error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
9,get_factors,variable assign fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
10,hanoi,variable misuse fault,output error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
11,is_valid_parenthesization,variable assign fault,output error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
12,kheapsort,indexing fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
13,knapsack,condition fault,output error,edge-case impact,gemini-python-with_location,0.0,with_location,Gemini,0,0
14,kth,variable assign fault,runtime error,base-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
15,lcs_length,indexing fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
16,levenshtein,variable assign fault,output error,base-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
17,lis,variable assign fault,output error,base-case impact,gemini-python-with_location,0.6666666666666666,with_location,Gemini,1,0
18,longest_common_subsequence,indexing fault,output error,edge-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
19,max_sublist_sum,variable assign fault,output error,base-case impact,gemini-python-with_location,0.3333333333333333,with_location,Gemini,1,0
20,mergesort,condition fault,infinite loop error,all-case impact,gemini-python-with_location,1.0,with_location,Gemini,1,1
