                           ,.DS_Store ,claude-python-basic ,gemini-python-basic ,gemini-python-with_lib ,gemini-python-with_lib_v2 ,gpt35-python-basic  ,gpt35-python-with_lib ,gpt35-python-with_lib_v2 ,gpt4-python-basic  ,gpt4-python-with_lib ,gpt4-python-with_lib_v2
bitcount                   ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
breadth_first_search       ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 0.7333333333333333   ,      1.0                ,0.8                ,  0.6666666666666666 ,     1.0
bucketsort                 ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
depth_first_search         ,          , 1.0                ,0.9333333333333333  ,   0.6                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,0.7333333333333333 ,  0.4666666666666667 ,     0.2
detect_cycle               ,          , 1.0                ,1.0                 ,   0.9444444444444444  ,       0.9444444444444444 ,0.6666666666666666  , 0.9444444444444444   ,      1.0                ,1.0                ,  1.0                ,     1.0
find_first_in_sorted       ,          , 0.8571428571428571 ,0.9523809523809523  ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
find_in_sorted             ,          , 1.0                ,1.0                 ,   1.0                 ,       0.9523809523809523 ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
flatten                    ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
gcd                        ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
get_factors                ,          , 0.6363636363636364 ,0.06060606060606061 ,   0.09090909090909091 ,       0.3333333333333333 ,0.15151515151515152 , 0.7272727272727273   ,      0.7272727272727273 ,1.0                ,  1.0                ,     0.5454545454545454
hanoi                      ,          , 1.0                ,1.0                 ,   1.0                 ,       0.7083333333333334 ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
is_valid_parenthesization  ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
kheapsort                  ,          , 1.0                ,0.6666666666666666  ,   0.75                ,       0.75               ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     0.6666666666666666
knapsack                   ,          , 0.9                ,0.6333333333333333  ,   0.6                 ,       0.5666666666666667 ,0.9                 , 0.9                  ,      0.9                ,0.9                ,  0.9                ,     0.9
kth                        ,          , 1.0                ,0.7619047619047619  ,   0.6666666666666666  ,       0.5238095238095238 ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  0.6666666666666666 ,     1.0
lcs_length                 ,          , 0.5555555555555556 ,0.5925925925925926  ,   1.0                 ,       1.0                ,1.0                 , 0.8518518518518519   ,      1.0                ,0.5555555555555556 ,  0.5555555555555556 ,     0.5555555555555556
levenshtein                ,          , 0.8571428571428571 ,0.14285714285714285 ,   0.14285714285714285 ,       0.6190476190476191 ,0.47619047619047616 , 0.047619047619047616 ,      0.5238095238095238 ,0.7619047619047619 ,  0.8571428571428571 ,     0.8571428571428571
lis                        ,          , 0.3055555555555556 ,0.7222222222222222  ,   0.3055555555555556  ,       0.7777777777777778 ,0.75                , 0.7222222222222222   ,      0.6944444444444444 ,0.6666666666666666 ,  0.8888888888888888 ,     0.1388888888888889
longest_common_subsequence ,          , 0.2                ,0.2                 ,   0.2                 ,       0.2                ,0.2                 , 0.2                  ,      0.2                ,0.2                ,  0.2                ,     0.2
max_sublist_sum            ,          , 0.8888888888888888 ,0.8888888888888888  ,   1.0                 ,       0.8333333333333334 ,0.8333333333333334  , 0.8333333333333334   ,      1.0                ,0.8333333333333334 ,  0.8333333333333334 ,     0.9444444444444444
mergesort                  ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
minimum_spanning_tree      ,          , 1.0                ,0.0                 ,   0.6666666666666666  ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  0.6666666666666666 ,     0.7777777777777778
next_palindrome            ,          , 1.0                ,0.8                 ,   0.5333333333333333  ,       0.8                ,1.0                 , 1.0                  ,      1.0                ,0.8666666666666667 ,  0.6                ,     0.8666666666666667
next_permutation           ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
pascal                     ,          , 1.0                ,1.0                 ,   0.7333333333333333  ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
possible_change            ,          , 1.0                ,0.7                 ,   0.4                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
powerset                   ,          , 1.0                ,0.2                 ,   0.2                 ,       0.2                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  0.4666666666666667 ,     1.0
quicksort                  ,          , 1.0                ,0.6666666666666666  ,   1.0                 ,       0.9743589743589743 ,1.0                 , 0.9743589743589743   ,      1.0                ,1.0                ,  0.9487179487179487 ,     1.0
reverse_linked_list        ,          , 1.0                ,0.3333333333333333  ,   0.6666666666666666  ,       1.0                ,0.7777777777777778  , 1.0                  ,      1.0                ,0.3333333333333333 ,  1.0                ,     1.0
rpn_eval                   ,          , 0.8333333333333334 ,0.3333333333333333  ,   0.6666666666666666  ,       0.5                ,1.0                 , 0.6666666666666666   ,      1.0                ,1.0                ,  0.6666666666666666 ,     1.0
shortest_path_length       ,          , 0.75               ,0.5833333333333334  ,   1.0                 ,       0.8333333333333334 ,1.0                 , 1.0                  ,      0.8333333333333334 ,0.4166666666666667 ,  0.75               ,     0.8333333333333334
shortest_path_lengths      ,          , 1.0                ,0.3333333333333333  ,   0.4166666666666667  ,       0.4166666666666667 ,1.0                 , 0.6666666666666666   ,      1.0                ,1.0                ,  1.0                ,     1.0
shortest_paths             ,          , 1.0                ,1.0                 ,   1.0                 ,       0.6666666666666666 ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
shunting_yard              ,          , 1.0                ,1.0                 ,   0.6666666666666666  ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
sieve                      ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
sqrt                       ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
subsequences               ,          , 0.3333333333333333 ,0.2222222222222222  ,   0.4444444444444444  ,       1.0                ,0.3333333333333333  , 0.3333333333333333   ,      0.3333333333333333 ,0.3333333333333333 ,  0.5555555555555556 ,     0.3333333333333333
to_base                    ,          , 1.0                ,1.0                 ,   1.0                 ,       1.0                ,1.0                 , 1.0                  ,      1.0                ,1.0                ,  1.0                ,     1.0
topological_ordering       ,          , 0.3333333333333333 ,0.0                 ,   0.3333333333333333  ,       0.0                ,0.7777777777777778  , 0.0                  ,      0.5555555555555556 ,0.0                ,  0.3333333333333333 ,     0.7777777777777778
wrap                       ,          , 0.0                ,0.0                 ,   0.3333333333333333  ,       0.0                ,0.0                 , 0.0                  ,      0.0                ,0.0                ,  0.0                ,     0.0
